"Gender","Unemployment Age","Unemployment Year","Month","Unemployment Rate"
"Female","25 - 74 years","2003","02",24.2
"Both","15 - 24 years","2003","03",35.3
"Both","15 - 74 years","2003","03",91.9
"Both","25 - 74 years","2003","03",56.6
"Male","15 - 24 years","2003","03",21.9
"Male","15 - 74 years","2003","03",55.2
"Male","25 - 74 years","2003","03",33.4
"Female","15 - 24 years","2003","03",13.4
"Female","15 - 74 years","2003","03",36.6
"Female","25 - 74 years","2003","03",23.2
"Both","15 - 24 years","2003","04",35.2
"Both","15 - 74 years","2003","04",93.1
"Both","25 - 74 years","2003","04",57.8
"Male","15 - 24 years","2003","04",21.6
"Male","15 - 74 years","2003","04",55.1
"Male","25 - 74 years","2003","04",33.4
"Female","15 - 24 years","2003","04",13.6
"Female","15 - 74 years","2003","04",38
"Female","25 - 74 years","2003","04",24.4
"Both","15 - 24 years","2003","05",35.4
"Both","15 - 74 years","2003","05",93.1
"Both","25 - 74 years","2003","05",57.6
"Male","15 - 24 years","2003","05",21.6
"Male","15 - 74 years","2003","05",55.1
"Male","25 - 74 years","2003","05",33.6
"Female","15 - 24 years","2003","05",13.8
"Female","15 - 74 years","2003","05",37.9
"Female","25 - 74 years","2003","05",24.1
"Both","15 - 24 years","2003","06",36.2
"Both","15 - 74 years","2003","06",95.9
"Both","25 - 74 years","2003","06",59.7
"Male","15 - 24 years","2003","06",21.7
"Male","15 - 74 years","2003","06",56.3
"Male","25 - 74 years","2003","06",34.6
"Female","15 - 24 years","2003","06",14.5
"Female","15 - 74 years","2003","06",39.7
"Female","25 - 74 years","2003","06",25.1
"Both","15 - 24 years","2003","07",37.1
"Both","15 - 74 years","2003","07",99.1
"Both","25 - 74 years","2003","07",61.9
"Male","15 - 24 years","2003","07",22.4
"Male","15 - 74 years","2003","07",58.2
"Male","25 - 74 years","2003","07",35.8
"Female","15 - 24 years","2003","07",14.8
"Female","15 - 74 years","2003","07",40.9
"Female","25 - 74 years","2003","07",26.1
"Both","15 - 24 years","2003","08",36.9
"Both","15 - 74 years","2003","08",99.8
"Both","25 - 74 years","2003","08",62.9
"Male","15 - 24 years","2003","08",22.3
"Male","15 - 74 years","2003","08",58.8
"Male","25 - 74 years","2003","08",36.4
"Female","15 - 24 years","2003","08",14.6
"Female","15 - 74 years","2003","08",41.1
"Female","25 - 74 years","2003","08",26.5
"Both","15 - 24 years","2003","09",37.1
"Both","15 - 74 years","2003","09",98.8
"Both","25 - 74 years","2003","09",61.7
"Male","15 - 24 years","2003","09",22.1
"Male","15 - 74 years","2003","09",57.9
"Male","25 - 74 years","2003","09",35.8
"Female","15 - 24 years","2003","09",14.9
"Female","15 - 74 years","2003","09",40.8
"Female","25 - 74 years","2003","09",25.9
"Both","15 - 24 years","2003","10",35.5
"Both","15 - 74 years","2003","10",94.6
"Both","25 - 74 years","2003","10",59.1
"Male","15 - 24 years","2003","10",21.4
