"Date","Location","18-24","25-44","45-64","65+","U18","Female","Male","Transgender","DNAA","DSH","DSH ","SA Only","SA/DSH","SI Only","SI/DSH","SI/SA","SI/SA/DSH","Crime","Recorded Crimes"
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Weapons and Explosives Offences",2738
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Explosives chemical weapons offences",59
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Discharging a firearm",162
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Possession of a firearm",193
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Offensive weapons offences (n.e.c.)",2178
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Fireworks offences",146
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Damage to property and to the environment",28698
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Arson",1914
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Criminal damage (not arson)",26567
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Litter offences",217
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Public order and other social code offences",36394
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Disorderly conduct",30810
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Trespass offences",2941
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Liquor licensing offences",1378
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Prostitution offences",119
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Regulated betting/money collection/trading offences",320
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Social code offences (n.e.c.)",826
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Offences against government justice procedures and organisation of crime",9168
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Offences against government and its agents",278
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Organisation of crime and conspiracy to commit crime",4
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Perverting the course of justice",62
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Offences while in custody breach of court orders",8824
