"Cause","Date","Location","Suicides"
"DNAA",2013,"Finglas",62
"DSH ",2013,"Finglas",33
"SA Only",2013,"Finglas",8
"SA/DSH",2013,"Finglas",1
"SI Only",2013,"Finglas",88
"SI/DSH",2013,"Finglas",55
"SI/SA",2013,"Finglas",51
"SI/SA/DSH",2013,"Finglas",27
"DNAA",2014,"Finglas",166
"DSH ",2014,"Finglas",57
"SA Only",2014,"Finglas",2
"SA/DSH",2014,"Finglas",1
"SI Only",2014,"Finglas",145
"SI/DSH",2014,"Finglas",64
"SI/SA",2014,"Finglas",70
"SI/SA/DSH",2014,"Finglas",23
"DNAA",2015,"Finglas",0
"DSH",2015,"Finglas",0
"SA Only",2015,"Finglas",0
"SA/DSH",2015,"Finglas",0
"SI Only",2015,"Finglas",0
"SI/DSH",2015,"Finglas",0
"SI/SA",2015,"Finglas",0
"SI/SA/DSH",2015,"Finglas",0
"DNAA",2016,"Finglas",0
"DSH",2016,"Finglas",0
"SA Only",2016,"Finglas",0
"SA/DSH",2016,"Finglas",0
"SI Only",2016,"Finglas",0
"SI/DSH",2016,"Finglas",0
"SI/SA",2016,"Finglas",0
"SI/SA/DSH",2016,"Finglas",0
"DNAA",2017,"Finglas",0
"DSH",2017,"Finglas",0
"SA Only",2017,"Finglas",0
"SA/DSH",2017,"Finglas",0
"SI Only",2017,"Finglas",0
"SI/DSH",2017,"Finglas",0
"SI/SA",2017,"Finglas",0
"SI/SA/DSH",2017,"Finglas",0
"DNAA",2013,"Pieta.House",0
"DSH ",2013,"Pieta.House",0
"SA Only",2013,"Pieta.House",0
"SA/DSH",2013,"Pieta.House",0
"SI Only",2013,"Pieta.House",0
"SI/DSH",2013,"Pieta.House",0
"SI/SA",2013,"Pieta.House",0
"SI/SA/DSH",2013,"Pieta.House",0
"DNAA",2014,"Pieta.House",0
"DSH ",2014,"Pieta.House",0
"SA Only",2014,"Pieta.House",0
"SA/DSH",2014,"Pieta.House",0
"SI Only",2014,"Pieta.House",0
"SI/DSH",2014,"Pieta.House",0
"SI/SA",2014,"Pieta.House",0
"SI/SA/DSH",2014,"Pieta.House",0
"DNAA",2015,"Pieta.House",0
"DSH",2015,"Pieta.House",0
"SA Only",2015,"Pieta.House",0
"SA/DSH",2015,"Pieta.House",0
"SI Only",2015,"Pieta.House",0
"SI/DSH",2015,"Pieta.House",0
"SI/SA",2015,"Pieta.House",0
"SI/SA/DSH",2015,"Pieta.House",0
"DNAA",2016,"Pieta.House",0
"DSH",2016,"Pieta.House",0
"SA Only",2016,"Pieta.House",0
"SA/DSH",2016,"Pieta.House",0
"SI Only",2016,"Pieta.House",0
"SI/DSH",2016,"Pieta.House",0
"SI/SA",2016,"Pieta.House",0
"SI/SA/DSH",2016,"Pieta.House",0
"DNAA",2017,"Pieta.House",42
"DSH",2017,"Pieta.House",62
"SA Only",2017,"Pieta.House",5
"SA/DSH",2017,"Pieta.House",3
"SI Only",2017,"Pieta.House",709
"SI/DSH",2017,"Pieta.House",290
"SI/SA",2017,"Pieta.House",257
"SI/SA/DSH",2017,"Pieta.House",146
"DNAA",2013,"Wexford",0
"DSH ",2013,"Wexford",0
"SA Only",2013,"Wexford",0
"SA/DSH",2013,"Wexford",0
"SI Only",2013,"Wexford",0
"SI/DSH",2013,"Wexford",0
"SI/SA",2013,"Wexford",0
"SI/SA/DSH",2013,"Wexford",0
"DNAA",2014,"Wexford",0
"DSH ",2014,"Wexford",0
"SA Only",2014,"Wexford",0
"SA/DSH",2014,"Wexford",0
"SI Only",2014,"Wexford",0
"SI/DSH",2014,"Wexford",0
"SI/SA",2014,"Wexford",0
"SI/SA/DSH",2014,"Wexford",0
"DNAA",2015,"Wexford",0
"DSH",2015,"Wexford",0
"SA Only",2015,"Wexford",0
"SA/DSH",2015,"Wexford",0
"SI Only",2015,"Wexford",0
